Entity,Code,Year,"Female lung cancer deaths (per 100,000) (WHO (IARC) (2016))","Male lung cancer deaths per 100,000 (WHO (IARC) (2016))"
Latvia,LVA,1981,5.66,51.09
Latvia,LVA,1982,6.01,57.91
Latvia,LVA,1983,5.97,57.73
Latvia,LVA,1984,6.28,56.64
Latvia,LVA,1985,6.55,58.81
Latvia,LVA,1986,7.47,62.83
Latvia,LVA,1987,7.15,64.85
Latvia,LVA,1988,6.41,66.08
Latvia,LVA,1989,7.46,65.43
Latvia,LVA,1990,6.84,63.94
Latvia,LVA,1991,6.77,70.83
Latvia,LVA,1992,6.34,68.1
Latvia,LVA,1993,6.64,63.61
Latvia,LVA,1994,5.73,67.22
Latvia,LVA,1995,6.24,60.97
Latvia,LVA,1996,6.42,62.33
Latvia,LVA,1997,6.11,57.23
Latvia,LVA,1998,6.23,57.97
Latvia,LVA,1999,6.11,61.82
Latvia,LVA,2000,5.78,55.5
Latvia,LVA,2001,6.2,60.26
Latvia,LVA,2002,6.04,56.63
Lebanon,LBN,2002,4.6,29.1
Lesotho,LSO,2002,1.6,11.3
Liberia,LBR,2002,0.6,1.6
Libya,LBY,2002,2.1,10.1
Lithuania,LTU,1981,4.97,52.29
Lithuania,LTU,1982,5.34,51.81
Lithuania,LTU,1985,5.88,54.2
Lithuania,LTU,1986,5.45,56.13
Lithuania,LTU,1987,5.12,57.88
Lithuania,LTU,1988,5.5,59.83
Lithuania,LTU,1989,5.75,59.51
Lithuania,LTU,1990,6.06,61.46
Lithuania,LTU,1991,6.1,65.03
Lithuania,LTU,1992,5.03,62.91
Lithuania,LTU,1993,6.26,62.96
Lithuania,LTU,1994,5.08,64.79
Lithuania,LTU,1995,5.71,63.4
Lithuania,LTU,1996,5.21,60.33
Lithuania,LTU,1997,5.46,57.9
Lithuania,LTU,1998,4.64,60.33
Lithuania,LTU,1999,5.84,58.69
Lithuania,LTU,2000,4.96,54.13
Lithuania,LTU,2001,5.66,55.58
Lithuania,LTU,2002,4.71,55.21
Luxembourg,LUX,1967,4.69,63.51
Luxembourg,LUX,1968,3.41,65.72
Luxembourg,LUX,1969,3.81,56.77
Luxembourg,LUX,1970,3.49,71.45
Luxembourg,LUX,1971,3.95,69.1
Luxembourg,LUX,1972,8.14,63.32
Luxembourg,LUX,1973,3.61,67.07
Luxembourg,LUX,1974,3.72,54.93
Luxembourg,LUX,1975,5.11,66.74
Luxembourg,LUX,1976,5.45,68.53
Luxembourg,LUX,1977,4.56,71.53
Luxembourg,LUX,1978,5.56,65.46
Luxembourg,LUX,1979,7.01,64.36
Luxembourg,LUX,1980,7.77,67.29
Luxembourg,LUX,1981,5,71.75
Luxembourg,LUX,1982,3.9,72.98
Luxembourg,LUX,1983,6.65,70.41
